order_id,customer_id,amount,gst_amount,final_amount,order_date,month,year,day,region,product
53,4872,3063,551.34,3614.34,2024-09-23,9,2024,23,Central,Tablet
54,3667,408,73.44,481.44,2024-12-07,12,2024,7,Central,Headphones
55,9150,448,80.64,528.64,2024-12-29,12,2024,29,South,Smartwatch
56,2486,1540,277.2,1817.2,2024-02-02,2,2024,2,East,Shoes
57,6156,949,170.82,1119.82,2025-02-03,2,2025,3,North,T-Shirt
58,5034,360,64.8,424.8,2024-04-22,4,2024,22,North,Backpack
59,2330,1109,199.62,1308.62,2025-06-27,6,2025,27,South,Monitor
60,6202,2596,467.28,3063.28,2025-05-14,5,2025,14,West,Keyboard
61,2573,2674,481.32,3155.32,2025-11-05,11,2025,5,West,Laptop
62,4451,709,127.62,836.62,2025-06-28,6,2025,28,West,Mobile
63,8805,1786,321.48,2107.48,2024-09-25,9,2024,25,East,Tablet
64,2829,906,163.07999999999998,1069.08,2025-12-08,12,2025,8,West,Headphones
65,5424,3258,586.4399999999999,3844.44,2024-10-27,10,2024,27,East,Smartwatch
66,9483,1632,293.76,1925.76,2024-08-26,8,2024,26,East,Shoes
67,5310,3424,616.3199999999999,4040.32,2025-10-23,10,2025,23,Central,T-Shirt
68,6420,921,165.78,1086.78,2024-09-27,9,2024,27,Central,Backpack
69,7361,4677,841.86,5518.86,2024-02-25,2,2024,25,South,Monitor
70,4488,2540,457.2,2997.2,2024-12-09,12,2024,9,South,Keyboard
71,7984,2346,422.28,2768.28,2025-08-04,8,2025,4,North,Laptop
72,3438,2130,383.4,2513.4,2024-05-18,5,2024,18,East,Mobile
73,7152,1518,273.24,1791.24,2024-12-04,12,2024,4,West,Tablet
74,7262,4321,777.78,5098.78,2024-04-04,4,2024,4,Central,Headphones
75,7650,4606,829.0799999999999,5435.08,2025-05-16,5,2025,16,Central,Smartwatch
76,4228,2781,500.58,3281.58,2024-12-13,12,2024,13,West,Shoes
77,1362,3727,670.86,4397.86,2024-08-29,8,2024,29,East,T-Shirt
78,7431,1536,276.48,1812.48,2024-06-14,6,2024,14,Central,Backpack
79,9180,1513,272.34,1785.34,2025-02-16,2,2025,16,Central,Monitor
80,5789,2096,377.28,2473.28,2025-05-04,5,2025,4,West,Keyboard
81,9814,2892,520.56,3412.56,2025-11-18,11,2025,18,North,Laptop
82,8181,281,50.58,331.58,2024-11-15,11,2024,15,North,Mobile
83,8320,1528,275.04,1803.04,2024-04-27,4,2024,27,East,Tablet
84,3749,2839,511.02,3350.02,2025-08-31,8,2025,31,East,Headphones
85,2531,702,126.36,828.36,2025-04-05,4,2025,5,West,Smartwatch
86,6400,4377,787.86,5164.86,2025-05-26,5,2025,26,Central,Shoes
87,6579,3849,692.8199999999999,4541.82,2024-03-12,3,2024,12,North,T-Shirt
88,7762,2847,512.46,3359.46,2024-08-16,8,2024,16,South,Backpack
89,8320,797,143.46,940.46,2025-07-15,7,2025,15,East,Monitor
90,8554,466,83.88,549.88,2025-08-31,8,2025,31,North,Keyboard
91,6533,2872,516.96,3388.96,2024-11-14,11,2024,14,North,Laptop
92,5786,4664,839.52,5503.52,2025-08-11,8,2025,11,West,Mobile
93,1564,1610,289.8,1899.8,2025-09-07,9,2025,7,West,Tablet
94,1749,872,156.96,1028.96,2024-10-10,10,2024,10,East,Headphones
95,8970,2579,464.22,3043.22,2025-10-18,10,2025,18,South,Smartwatch
96,6390,969,174.42,1143.42,2024-07-29,7,2024,29,South,Shoes
97,1764,653,117.54,770.54,2024-06-24,6,2024,24,South,T-Shirt
98,3216,1303,234.54,1537.54,2025-05-13,5,2025,13,South,Backpack
99,3958,3862,695.16,4557.16,2025-04-10,4,2025,10,West,Monitor
100,1151,2256,406.08,2662.08,2024-04-12,4,2024,12,Central,Keyboard
101,6955,1838,330.84,2168.84,2025-08-31,8,2025,31,South,Laptop
102,8249,2804,504.72,3308.72,2024-05-26,5,2024,26,North,Mobile
103,9557,4789,862.02,5651.02,2025-08-11,8,2025,11,South,Tablet
104,1833,1048,188.64,1236.64,2024-01-06,1,2024,6,South,Headphones
105,8807,3479,626.22,4105.22,2025-08-05,8,2025,5,North,Smartwatch
